gene_name,peak_id
RTG3,chrII_25383_25770
ECM21,chrII_27942_29641
YBL100W-C,chrII_27942_29641
YBL100W-A,chrII_27942_29641
YBL100W-B,chrII_27942_29641
ATP1,chrII_36149_37139
ATP1,chrII_37505_37664
BNA4,chrII_37505_37664
ATP1,chrII_37835_38162
BNA4,chrII_37835_38162
BNA4,chrII_39052_39282
BRN1,chrII_39052_39282
ROX3,chrII_44961_45714
RPL32,chrII_44961_45714
SCS22,chrII_47249_47559
MRP21,chrII_47249_47559
MAP2,chrII_49488_49824
MRP21,chrII_49488_49824
AVT5,chrII_49488_49824
TEL1,chrII_59859_60236
RPL23A,chrII_59859_60236
TEL1,chrII_60739_61559
RPL23A,chrII_60739_61559
RPL23A,chrII_62715_62974
YBL086C,chrII_62715_62974
BOI1,chrII_62715_62974
YBL086C,chrII_63319_63827
BOI1,chrII_63319_63827
CDC27,chrII_69537_69799
CDC27,chrII_71257_71578
ALG3,chrII_71257_71578
YBL081W,chrII_71257_71578
PET112,chrII_74474_75447
NUP170,chrII_74474_75447
ATG8,chrII_80458_80614
ATG8,chrII_80644_81246
ILS1,chrII_84345_84678
SSA3,chrII_87737_88364
AAR2,chrII_87737_88364
snR56,chrII_87737_88364
RPS8A,chrII_87737_88364
KTI11,chrII_87737_88364
AAR2,chrII_89418_90157
RPS8A,chrII_89418_90157
YBL071C-B,chrII_89418_90157
KTI11,chrII_89418_90157
YBL071C,chrII_89418_90157
AST1,chrII_89418_90157
UBP13,chrII_96208_96469
SEF1,chrII_100178_100797
PRX1,chrII_100178_100797
KIP1,chrII_100178_100797
SEF1,chrII_100831_101042
PRX1,chrII_100831_101042
KIP1,chrII_100831_101042
SEF1,chrII_101049_102148
PRX1,chrII_101049_102148
KIP1,chrII_101049_102148
SKT5,chrII_107513_108138
YEL1,chrII_107513_108138
CMC2,chrII_111115_111490
IAI11,chrII_111115_111490
SHP1,chrII_111115_111490
PTH2,chrII_113318_113917
PTC3,chrII_113318_113917
YBL055C,chrII_116569_117473
TOD6,chrII_116569_117473
SAS3,chrII_122245_122407
PIN4,chrII_124810_125150
SEC17,chrII_124810_125150
MOH1,chrII_124810_125150
PIN4,chrII_126175_126684
MOH1,chrII_126175_126684
RRT1,chrII_126175_126684
RRT1,chrII_128013_128460
EDE1,chrII_132240_132459
PSY4,chrII_132240_132459
COR1,chrII_135737_136572
YBL044W,chrII_135737_136572
ECM13,chrII_135737_136572
FUI1,chrII_140413_141353
PRE7,chrII_140413_141353
ERD2,chrII_142855_143332
MIN6,chrII_142855_143332
MRPL16,chrII_145981_146341
URA7,chrII_145981_146341
APL3,chrII_145981_146341
MRPL16,chrII_146953_147228
URA7,chrII_146953_147228
APL3,chrII_146953_147228
YBL036C,chrII_151164_151559
POL12,chrII_153745_154156
STU1,chrII_158506_160359
RIB1,chrII_158506_160359
HEK2,chrII_158506_160359
SHE1,chrII_158506_160359
YBL029W,chrII_164210_164559
PET9,chrII_164210_164559
YBL029C-A,chrII_164210_164559
YBL029W,chrII_164756_165892
PET9,chrII_164756_165892
YBL029C-A,chrII_164756_165892
YBL028C,chrII_168003_168478
RPL19B,chrII_168003_168478
LSM2,chrII_170180_170588
RRN10,chrII_170180_170588
NCL1,chrII_170180_170588
MCM2,chrII_177584_177863
MCM2,chrII_177971_178230
PIM1,chrII_181414_181818
HAP3,chrII_181414_181818
RFT1,chrII_181414_181818
PIM1,chrII_182120_182409
HAP3,chrII_182120_182409
RFT1,chrII_182120_182409
APN2,chrII_182120_182409
POP8,chrII_186590_187116
PEP1,chrII_191839_192424
FUS3,chrII_191839_192424
ACH1,chrII_191839_192424
PEP1,chrII_193108_194197
FUS3,chrII_193108_194197
ACH1,chrII_193108_194197
RRN6,chrII_201805_203656
FMT1,chrII_201805_203656
SCT1,chrII_201805_203656
SLA1,chrII_216354_217470
LDB7,chrII_216354_217470
PDR3,chrII_216354_217470
YBL005W-A,chrII_220149_220345
YBL005W-B,chrII_220149_220345
YBL005W-A,chrII_220350_221220
YBL005W-B,chrII_220350_221220
YBL005W-A,chrII_221349_221660
YBL005W-B,chrII_221349_221660
UTP20,chrII_226830_227824
HTA2,chrII_235745_236513
HTB2,chrII_235745_236513
ECM15,chrII_235745_236513
HTA2,chrII_237431_237754
HTB2,chrII_237431_237754
ECM15,chrII_237431_237754
ECM15,chrII_238418_238708
GPI18,chrII_246754_247013
RCR1,chrII_246754_247013
UGA2,chrII_246754_247013
GPI18,chrII_247253_247669
UGA2,chrII_247253_247669
DSF2,chrII_251124_251753
FLR1,chrII_255041_255303
HHF1,chrII_255041_255303
HHT1,chrII_255041_255303
FLR1,chrII_255595_257799
HHF1,chrII_255595_257799
HHT1,chrII_255595_257799
IPP1,chrII_255595_257799
IPP1,chrII_257903_258542
YBR012W-A,chrII_257903_258542
YBR012W-B,chrII_257903_258542
YBR013C,chrII_266413_266986
GRX7,chrII_266413_266986
YBR013C,chrII_267134_267365
GRX7,chrII_267134_267365
YBR013C,chrII_267384_267846
GRX7,chrII_267384_267846
GRX7,chrII_268600_268767
MNN2,chrII_268600_268767
YBR016W,chrII_268600_268767
MNN2,chrII_269480_270798
YBR016W,chrII_269480_270798
KAP104,chrII_273820_274019
KAP104,chrII_275671_275935
GAL7,chrII_275671_275935
GAL7,chrII_276663_276998
GAL10,chrII_278531_278810
GAL1,chrII_278531_278810
FUR4,chrII_280961_281334
POA1,chrII_283615_283785
CHS3,chrII_288210_288699
SCO2,chrII_288210_288699
CHS3,chrII_289116_289355
SCO2,chrII_289116_289355
OLA1,chrII_292067_292673
YPK3,chrII_297715_298252
CDS1,chrII_297715_298252
RKM3,chrII_297715_298252
RPL4A,chrII_297715_298252
YBR032W,chrII_301454_302049
EDS1,chrII_301454_302049
HMT1,chrII_307022_307579
PDX3,chrII_307022_307579
snR161,chrII_307022_307579
TLC1,chrII_307022_307579
CSG2,chrII_310269_310841
SCO1,chrII_310269_310841
CHS2,chrII_310269_310841
CSG2,chrII_311493_311880
SCO1,chrII_311493_311880
CHS2,chrII_311493_311880
ATP3,chrII_315272_315731
FIG1,chrII_315272_315731
QDR3,chrII_324170_324704
TCM62,chrII_326243_327058
GIP1,chrII_331619_332014
ZTA1,chrII_331619_332014
FMP23,chrII_331619_332014
RPS11B,chrII_331619_332014
ZTA1,chrII_332477_332915
FMP23,chrII_332477_332915
RPS11B,chrII_332477_332915
REB1,chrII_336920_337358
REG2,chrII_336920_337358
REB1,chrII_337375_337635
REG2,chrII_337375_337635
REB1,chrII_338335_339336
REG2,chrII_338335_339336
RFS1,chrII_338335_339336
REG2,chrII_339435_339743
RFS1,chrII_339435_339743
RFS1,chrII_340894_341087
YBR053C,chrII_340894_341087
YBR053C,chrII_341357_342541
YRO2,chrII_341357_342541
PRP6,chrII_347464_347950
YBR056W,chrII_347464_347950
MNC1,chrII_349521_349708
MNC1,chrII_349979_350396
MNC1,chrII_350701_351644
UBP14,chrII_356335_356496
TSC3,chrII_356335_356496
UBP14,chrII_356528_357408
TSC3,chrII_356528_357408
AKL1,chrII_360162_360775
ORC2,chrII_362533_362985
YBR063C,chrII_369823_370046
ECM2,chrII_369823_370046
NRG2,chrII_369823_370046
ECM2,chrII_370920_371920
NRG2,chrII_370920_371920
TIP1,chrII_370920_371920
TIP1,chrII_373125_373720
BAP2,chrII_375886_376462
TAT1,chrII_378772_379273
ALG14,chrII_378772_379273
YBR071W,chrII_378772_379273
TAT1,chrII_380076_380492
ALG14,chrII_380076_380492
YBR071W,chrII_380076_380492
HSP26,chrII_380076_380492
ALG14,chrII_381190_381875
YBR071W,chrII_381190_381875
HSP26,chrII_381190_381875
RDH54,chrII_381190_381875
HSP26,chrII_382979_383166
YBR072C-A,chrII_382979_383166
RDH54,chrII_382979_383166
SLM4,chrII_391435_393039
ECM33,chrII_391435_393039
SLM4,chrII_393323_393478
ECM33,chrII_393323_393478
RPG1,chrII_398386_398609
SEC18,chrII_400811_401420
SPT7,chrII_405513_405787
SPT7,chrII_405967_406484
UBC4,chrII_405967_406484
UBC4,chrII_407319_407936
TEC1,chrII_407319_407936
UBC4,chrII_408044_409176
TEC1,chrII_408044_409176
MIS1,chrII_408044_409176
MIS1,chrII_410766_410992
RPL19A,chrII_415366_415908
AAC3,chrII_415366_415908
YBR085C-A,chrII_418215_418605
YBR085C-A,chrII_419170_420314
YBR090C,chrII_425921_426125
POL30,chrII_425921_426125
NHP6B,chrII_425921_426125
YBR090C,chrII_426251_427211
TIM12,chrII_426251_427211
POL30,chrII_426251_427211
NHP6B,chrII_426251_427211
TIM12,chrII_429381_429606
PHO3,chrII_429381_429606
PHO5,chrII_431219_432054
PBY1,chrII_431219_432054
RXT2,chrII_435649_436178
YBR096W,chrII_435649_436178
VPS15,chrII_435649_436178
MMS4,chrII_441264_441569
FES1,chrII_444590_445390
VID24,chrII_451702_452729
SND3,chrII_451702_452729
IML3,chrII_455945_456103
CMD1,chrII_458493_458964
ALG1,chrII_458493_458964
YSA1,chrII_461930_462170
SUS1,chrII_461930_462170
CYC8,chrII_465955_467432
RAD16,chrII_465955_467432
LYS2,chrII_473917_474693
LYS2,chrII_475050_475426
TKL2,chrII_475653_475857
TEF2,chrII_475653_475857
LYS2,chrII_475653_475857
TKL2,chrII_476055_476287
TEF2,chrII_476055_476287
TKL2,chrII_476583_477757
TEF2,chrII_476583_477757
MUD1,chrII_476583_477757
MUD1,chrII_479162_479388
CBP6,chrII_481049_481213
GRS1,chrII_483574_484014
MRPL36,chrII_483574_484014
GRS1,chrII_484618_484793
MRPL36,chrII_484618_484793
TFC1,chrII_488672_489081
PTC4,chrII_488672_489081
MEO1,chrII_488672_489081
PTC4,chrII_489448_489618
TPS1,chrII_489448_489618
MEO1,chrII_489448_489618
PTC4,chrII_490237_491238
TPS1,chrII_490237_491238
MEO1,chrII_490237_491238
VMA2,chrII_492981_493383
ATG14,chrII_492981_493383
ATG14,chrII_495462_495630
OPY1,chrII_495462_495630
CCZ1,chrII_495462_495630
OPY1,chrII_496906_497191
SHE3,chrII_496906_497191
CCZ1,chrII_496906_497191
AGP2,chrII_501487_502123
HSL7,chrII_504361_505154
CKS1,chrII_504361_505154
MEC1,chrII_504361_505154
YBR137W,chrII_512667_513088
YBR137W,chrII_513259_513460
YBR138C,chrII_515408_515884
ATG42,chrII_515408_515884
YBR138C,chrII_517023_517179
IRA1,chrII_526807_527403
BMT2,chrII_526807_527403
MAK5,chrII_526807_527403
SUP45,chrII_532303_532587
YBR144C,chrII_532303_532587
ADH5,chrII_532303_532587
SUP45,chrII_533078_533922
YBR144C,chrII_533078_533922
ADH5,chrII_533078_533922
MRPS9,chrII_533078_533922
YBR144C,chrII_535051_535340
MRPS9,chrII_535051_535340
RTC2,chrII_535051_535340
RTC2,chrII_536326_536528
YSW1,chrII_536326_536528
YSW1,chrII_537589_537765
ARA1,chrII_539784_540249
TBS1,chrII_544504_545095
APD1,chrII_544504_545095
SPP381,chrII_544504_545095
RIB7,chrII_547597_547784
CNS1,chrII_547597_547784
RPB5,chrII_549209_549776
CNS1,chrII_549209_549776
SLI15,chrII_554506_556310
ICS2,chrII_554506_556310
AMN1,chrII_554506_556310
CDC28,chrII_560995_561757
CSH1,chrII_560995_561757
TOS1,chrII_564910_565885
YSY6,chrII_564910_565885
EXO5,chrII_564910_565885
ARL1,chrII_568661_568854
UBS1,chrII_568661_568854
SSE2,chrII_576049_576508
SEC66,chrII_576049_576508
NPL4,chrII_578159_578337
SEC66,chrII_578159_578337
SMY2,chrII_581590_581746
UMP1,chrII_581590_581746
SWD3,chrII_581590_581746
ECM31,chrII_581590_581746
SMY2,chrII_582033_582640
UMP1,chrII_582033_582640
SWD3,chrII_582033_582640
ECM31,chrII_582033_582640
EHT1,chrII_586108_586590
FZO1,chrII_589201_589692
DTR1,chrII_589201_589692
RPS6B,chrII_592865_593428
SMP1,chrII_595099_596177
YBR182C-A,chrII_595099_596177
YPC1,chrII_595099_596177
YBR184W,chrII_595099_596177
MBA1,chrII_600146_600387
PCH2,chrII_600146_600387
GDT1,chrII_602266_602643
RPS9B,chrII_602266_602643
NTC20,chrII_604089_604554
RPS9B,chrII_604089_604554
RPL21A,chrII_604089_604554
NTC20,chrII_605870_606348
RPL21A,chrII_605870_606348
RIM2,chrII_605870_606348
PGI1,chrII_614060_615785
YBR196C-A,chrII_614060_615785
YBR196C-B,chrII_614060_615785
YBR197C,chrII_614060_615785
TAF5,chrII_618662_618894
KTR4,chrII_618662_618894
BEM1,chrII_618662_618894
BEM1,chrII_620664_620867
MIN7,chrII_624818_625752
MCM7,chrII_624818_625752
COS111,chrII_628205_629016
LDH1,chrII_634788_635109
FTH1,chrII_634788_635109
"DUR1,2",chrII_642500_643213
YBR209W,chrII_642500_643213
ERV15,chrII_644945_645680
AME1,chrII_647230_647526
NGR1,chrII_647230_647526
MET8,chrII_650213_650373
SDS24,chrII_650213_650373
MET8,chrII_650588_651868
SDS24,chrII_650588_651868
HPC2,chrII_650588_651868
HPC2,chrII_652599_653287
PYC2,chrII_662285_662957
YBR219C,chrII_662285_662957
YBR219C,chrII_664797_665046
YBR220C,chrII_664797_665046
YBR221W-A,chrII_664797_665046
YBR220C,chrII_666551_666752
PDB1,chrII_666551_666752
YBR221W-A,chrII_666551_666752
PCS60,chrII_668275_669112
YBR225W,chrII_668275_669112
YBR225W,chrII_670403_670596
TDP1,chrII_670403_670596
ROT2,chrII_679224_681520
OM14,chrII_679224_681520
COQ21,chrII_679224_681520
LSR1,chrII_679224_681520
PBP2,chrII_679224_681520
OM14,chrII_681949_682244
LSR1,chrII_681949_682244
SWC5,chrII_681949_682244
PBP2,chrII_681949_682244
VHC1,chrII_686707_686913
ARC40,chrII_686707_686913
ABD1,chrII_691714_692029
PRP5,chrII_691714_692029
ABD1,chrII_692234_692410
PRP5,chrII_692234_692410
YBR238C,chrII_697462_698307
THI2,chrII_702130_702558
THI2,chrII_703665_704061
YBR241C,chrII_703665_704061
YBR242W,chrII_703665_704061
YBR241C,chrII_704195_704446
YBR242W,chrII_704195_704446
ALG7,chrII_707456_708050
GPX2,chrII_707456_708050
ENP1,chrII_714609_715054
HIS7,chrII_716575_716875
HIS7,chrII_718157_718694
ARO4,chrII_718157_718694
SPO23,chrII_718157_718694
SRB6,chrII_721065_721369
MRPS5,chrII_721065_721369
DUT1,chrII_721065_721369
SRB6,chrII_722579_723431
TRS20,chrII_722579_723431
MTC4,chrII_722579_723431
DUT1,chrII_722579_723431
RCF3,chrII_727062_727387
RIB5,chrII_727062_727387
POP4,chrII_727062_727387
RCF3,chrII_728219_728952
RIB5,chrII_728219_728952
POP4,chrII_728219_728952
YBR259W,chrII_728219_728952
SHG1,chrII_730269_730456
YBR259W,chrII_730269_730456
RGD1,chrII_735387_735641
SHM1,chrII_735387_735641
TAE1,chrII_735387_735641
MIC12,chrII_735387_735641
RGD1,chrII_736014_736345
SHM1,chrII_736014_736345
TAE1,chrII_736014_736345
MIC12,chrII_736014_736345
YPT10,chrII_738238_738531
REI1,chrII_738238_738531
TSC10,chrII_738238_738531
MRPL37,chrII_741771_742027
SDH8,chrII_741771_742027
SDH8,chrII_742504_743015
EFM2,chrII_742504_743015
HSM3,chrII_749116_750045
UBX7,chrII_749116_750045
CHK1,chrII_749116_750045
RIF1,chrII_757111_757880
PPS1,chrII_760609_761086
DPB3,chrII_760609_761086
PAF1,chrII_760609_761086
PPS1,chrII_761248_761487
DPB3,chrII_761248_761487
PAF1,chrII_761248_761487
SAF1,chrII_763868_764038
SAF1,chrII_764046_764489
SAF1,chrII_764717_764983
DUG2,chrII_767703_767958
MRPL27,chrII_767703_767958
SSH1,chrII_770537_771485
YBR284W,chrII_770537_771485
YBR285W,chrII_773524_773850
APE3,chrII_773524_773850
YBR287W,chrII_775954_776686
BSD2,chrII_782282_782717
CTP1,chrII_783746_784080
YBR292C,chrII_783746_784080
CTP1,chrII_784191_784449
YBR292C,chrII_784191_784449
CTP1,chrII_786414_786682
YBR292C,chrII_786414_786682
VBA2,chrII_786414_786682
YBR292C,chrII_786892_787186
VBA2,chrII_786892_787186
SUL1,chrII_788641_789033
PCA1,chrII_792240_792462
PHO89,chrII_798739_799410
TYC1,chrII_798739_799410
MAL33,chrII_798739_799410
PHO89,chrII_800177_800486
TYC1,chrII_800177_800486
MAL33,chrII_800177_800486
MAL31,chrII_804743_805349
YBR298C-A,chrII_804743_805349
MAL32,chrII_804743_805349
YBR298C-A,chrII_807217_807434
PAU24,chrII_807217_807434
PAU24,chrII_808294_808905
PAU24,chrII_809869_810408
GEX1,chrIII_8731_9274
VBA3,chrIII_8731_9274
YCL068C,chrIII_11204_11592
HMLALPHA1,chrIII_11204_11592
YCL068C,chrIII_14163_14310
HMLALPHA2,chrIII_14163_14310
HMLALPHA1,chrIII_14163_14310
HMLALPHA2,chrIII_14584_15066
CHA1,chrIII_16871_17696
VAC17,chrIII_16871_17696
MRC1,chrIII_24032_24957
KRR1,chrIII_24032_24957
FYV5,chrIII_24032_24957
ADF1,chrIII_24032_24957
MIC10,chrIII_24032_24957
PRD1,chrIII_24032_24957
PEX34,chrIII_27648_27941
KAR4,chrIII_27648_27941
PEX34,chrIII_29109_29504
RDT1,chrIII_29109_29504
SPB1,chrIII_29109_29504
RDT1,chrIII_30540_30952
SPB1,chrIII_30540_30952
PBN1,chrIII_35511_35800
LRE1,chrIII_35511_35800
APA1,chrIII_39019_39445
APA1,chrIII_40647_41366
YCL049C,chrIII_40647_41366
YCL048W-A,chrIII_40647_41366
SPS22,chrIII_40647_41366
EMC1,chrIII_47008_47371
MGR1,chrIII_47008_47371
PDI1,chrIII_50168_51273
GID7,chrIII_50168_51273
MGR1,chrIII_50168_51273
YCL042W,chrIII_50168_51273
GLK1,chrIII_50168_51273
PDI1,chrIII_51400_51636
GID7,chrIII_51400_51636
YCL042W,chrIII_51400_51636
GLK1,chrIII_51400_51636
PDI1,chrIII_51678_51926
GID7,chrIII_51678_51926
GLK1,chrIII_51678_51926
PDI1,chrIII_52017_52596
GID7,chrIII_52017_52596
GRX1,chrIII_61363_61848
LSB5,chrIII_61363_61848
STE50,chrIII_61363_61848
GRX1,chrIII_62588_62783
LSB5,chrIII_62588_62783
MXR2,chrIII_62588_62783
STE50,chrIII_62588_62783
GRX1,chrIII_62830_63067
MXR2,chrIII_62830_63067
STE50,chrIII_62830_63067
GRX1,chrIII_63083_63289
MXR2,chrIII_63083_63289
STE50,chrIII_63083_63289
RRP7,chrIII_65769_66046
RRP7,chrIII_66130_66325
HIS4,chrIII_68421_69061
BIK1,chrIII_68421_69061
RNQ1,chrIII_68421_69061
HBN1,chrIII_75964_76320
FRM2,chrIII_75964_76320
FRM2,chrIII_76607_76898
AGP1,chrIII_77366_77679
KCC4,chrIII_77366_77679
AGP1,chrIII_77752_78812
KCC4,chrIII_77752_78812
YCL021W-A,chrIII_82413_82877
YCL020W,chrIII_83671_84303
YCL019W,chrIII_83671_84303
YCL021W-A,chrIII_83671_84303
YCL020W,chrIII_84622_85309
YCL019W,chrIII_84622_85309
LEU2,chrIII_90650_92334
NFS1,chrIII_94412_94658
BUD3,chrIII_94412_94658
NFS1,chrIII_95713_96226
DCC1,chrIII_95713_96226
BUD3,chrIII_95713_96226
YCL012C,chrIII_103604_103908
GBP2,chrIII_103604_103908
SGF29,chrIII_103604_103908
GBP2,chrIII_104408_104686
SGF29,chrIII_104408_104686
ILV6,chrIII_104408_104686
SGF29,chrIII_105687_105966
ILV6,chrIII_105687_105966
STP22,chrIII_105687_105966
VMA9,chrIII_105687_105966
YCL002C,chrIII_111694_112071
RER1,chrIII_111694_112071
YCL001W-A,chrIII_111694_112071
YCL001W-B,chrIII_111694_112071
YCL001W-B,chrIII_114277_114867
YCR001W,chrIII_114277_114867
CIT2,chrIII_122468_124058
YCR006C,chrIII_122468_124058
YCR007C,chrIII_127748_128095
SAT4,chrIII_127748_128095
RVS161,chrIII_131615_132019
ADY2,chrIII_133371_133899
RVS161,chrIII_133371_133899
ADP1,chrIII_137017_137855
PGK1,chrIII_137017_137855
ADP1,chrIII_138498_139024
PGK1,chrIII_138498_139024
POL4,chrIII_142521_142934
CTO1,chrIII_142521_142934
snR33,chrIII_142521_142934
YCR016W,chrIII_142521_142934
SRD1,chrIII_147187_148630
CWH43,chrIII_147187_148630
MAK32,chrIII_151884_152247
PET18,chrIII_155016_155298
MAK31,chrIII_155016_155298
HTL1,chrIII_155016_155298
HSP30,chrIII_157459_158503
YCR022C,chrIII_157459_158503
SLM5,chrIII_163317_164660
YCR024C-B,chrIII_163317_164660
PMP1,chrIII_163317_164660
YCR025C,chrIII_163317_164660
NPP1,chrIII_168184_168501
RHB1,chrIII_168184_168501
RHB1,chrIII_169042_169218
FEN2,chrIII_172549_172789
RIM1,chrIII_172549_172789
SYP1,chrIII_176539_177303
snR65,chrIII_176539_177303
RPS14A,chrIII_176539_177303
SYP1,chrIII_178323_179437
RPS14A,chrIII_178323_179437
snR189,chrIII_178323_179437
BPH1,chrIII_178323_179437
SNT1,chrIII_184709_184904
SNT1,chrIII_185913_186403
ELO2,chrIII_190053_190587
RRP43,chrIII_193103_193478
RBK1,chrIII_193103_193478
RRP43,chrIII_194444_194762
PHO87,chrIII_197088_197776
RRT12,chrIII_210291_210630
IMG1,chrIII_210291_210630
ARE1,chrIII_210291_210630
BUD23,chrIII_210291_210630
IMG1,chrIII_211761_212292
ARE1,chrIII_211761_212292
BUD23,chrIII_211761_212292
YCR051W,chrIII_211761_212292
RSC6,chrIII_214183_214331
YCR050C,chrIII_214183_214331
YCR051W,chrIII_214183_214331
THR4,chrIII_216334_216950
PWP2,chrIII_223500_223758
YIH1,chrIII_223500_223758
TAH1,chrIII_223500_223758
YCR061W,chrIII_223500_223758
YIH1,chrIII_225271_225794
TAH1,chrIII_225271_225794
YCR061W,chrIII_225271_225794
YIH1,chrIII_225950_226462
YCR061W,chrIII_225950_226462
BUD31,chrIII_225950_226462
YCR061W,chrIII_226475_226784
BUD31,chrIII_226475_226784
BUD31,chrIII_227966_228376
HCM1,chrIII_227966_228376
BUD31,chrIII_228576_229256
HCM1,chrIII_228576_229256
SED4,chrIII_236502_237138
ATG15,chrIII_236502_237138
CPR4,chrIII_236502_237138
SED4,chrIII_237796_238113
ATG15,chrIII_237796_238113
CPR4,chrIII_237796_238113
SED4,chrIII_238160_239028
ATG15,chrIII_238160_239028
CPR4,chrIII_238160_239028
IMG2,chrIII_240648_240837
EGO2,chrIII_246596_247412
SSK22,chrIII_246596_247412
SOL2,chrIII_246596_247412
ERS1,chrIII_247648_247873
EGO2,chrIII_247648_247873
SSK22,chrIII_247648_247873
SOL2,chrIII_247648_247873
PAT1,chrIII_252654_253653
PTC6,chrIII_252654_253653
SRB8,chrIII_252654_253653
PAT1,chrIII_254270_254549
SRB8,chrIII_254270_254549
AHC2,chrIII_258678_259078
TRX3,chrIII_258678_259078
AHC2,chrIII_259295_259664
TRX3,chrIII_259295_259664
ABP1,chrIII_262698_263357
TUP1,chrIII_262698_263357
YCR085W,chrIII_262698_263357
CSM1,chrIII_262698_263357
YCR087C-A,chrIII_264872_265194
ABP1,chrIII_264872_265194
FIG2,chrIII_266863_267331
YCR090C,chrIII_274100_274573
KIN82,chrIII_274100_274573
YCR090C,chrIII_274671_275009
KIN82,chrIII_274671_275009
MSH3,chrIII_279773_280370
CDC39,chrIII_279773_280370
